region;tenure;age;marital;address;income;employ;retire;gender;reside;custcat;churn
2;13;44;1;9;64;5;0;0;2;1;1
3;11;33;1;7;136;5;0;0;6;4;1
3;68;52;1;24;116;29;0;1;2;3;0
2;33;33;0;12;33;0;0;1;1;1;1
2;23;30;1;9;30;2;0;0;4;3;0
2;41;39;0;17;78;16;0;1;1;3;0
3;45;22;1;2;19;4;0;1;5;2;1
2;38;35;0;5;76;10;0;0;3;4;0
3;45;59;1;7;166;31;0;0;5;3;0
1;68;41;1;21;72;22;0;0;3;2;0
2;5;33;0;10;125;5;0;1;1;1;1
3;7;35;0;14;80;15;0;1;1;3;0
1;41;38;1;8;37;9;0;1;3;1;0
2;57;54;1;30;115;23;0;1;3;4;1
2;9;46;0;3;25;8;0;1;2;1;0
1;29;38;1;12;75;1;0;0;4;2;0
3;60;57;0;38;162;30;0;0;1;3;0
3;34;48;0;3;49;6;0;1;3;3;0
2;1;24;0;3;20;3;0;0;1;1;0
1;26;29;1;3;77;2;0;0;4;4;1
3;6;30;0;7;16;1;0;1;1;2;1
1;68;52;1;17;120;24;0;0;2;1;0
3;53;33;0;10;101;4;0;1;2;4;0
3;55;48;1;19;67;25;0;0;3;1;0
3;14;43;1;18;36;5;0;0;5;3;0
2;1;21;0;0;33;0;0;1;3;3;0
2;42;40;0;7;37;8;0;1;1;4;0
3;25;33;1;11;31;5;0;0;4;3;0
1;9;21;1;1;17;2;0;1;3;1;0
2;13;33;1;9;19;0;0;1;2;2;0
1;56;37;1;6;36;13;0;1;2;2;0
1;71;53;1;27;155;12;0;0;2;4;0
1;35;50;1;26;140;21;0;1;4;3;0
1;11;27;1;8;55;0;0;0;3;2;0
2;60;46;1;13;163;24;0;0;2;4;0
3;20;35;1;11;52;0;0;0;2;2;1
2;54;60;0;38;211;25;0;0;1;4;0
1;44;57;1;1;186;17;0;0;2;3;0
1;11;41;1;0;39;1;0;1;2;3;1
2;72;57;0;34;22;35;1;1;1;3;0
3;10;41;0;7;30;7;0;0;1;3;0
2;15;28;0;0;29;4;0;1;1;3;0
2;27;28;1;4;23;8;0;0;5;1;0
1;9;36;1;14;62;10;0;0;6;4;1
1;64;43;1;20;76;20;0;1;4;3;0
1;65;41;1;3;74;16;0;0;2;2;0
1;49;51;1;27;63;19;0;0;5;2;0
3;47;41;1;0;36;8;0;0;2;4;1
3;9;34;1;9;33;8;0;1;4;1;1
1;5;36;0;14;29;9;0;1;1;3;1
2;30;34;1;4;27;1;0;0;5;1;1
1;56;52;1;28;49;12;0;0;4;2;0
3;10;22;0;0;24;0;0;0;1;4;0
1;7;26;1;3;26;2;0;0;5;1;0
1;52;27;0;6;47;5;0;0;2;1;0
2;36;45;1;1;94;18;0;1;5;1;1
3;27;34;0;8;21;4;0;1;1;2;0
1;58;62;1;36;27;0;0;0;2;1;0
2;41;52;0;27;30;2;0;1;1;3;0
2;47;40;1;16;127;12;0;1;4;2;0
2;55;39;1;15;137;20;0;1;2;3;1
2;56;50;1;1;80;24;0;1;4;4;0
3;35;55;0;24;30;2;0;0;1;1;0
2;69;51;1;11;438;23;0;1;2;4;0
2;44;39;0;16;79;16;0;0;1;4;1
3;36;47;1;16;63;23;0;0;2;1;0
3;28;51;1;22;40;10;0;1;6;3;0
1;72;67;1;44;51;34;1;0;2;3;0
1;16;27;0;5;37;5;0;0;4;1;0
3;3;43;0;19;61;11;0;1;1;1;1
1;40;57;1;15;22;9;0;0;2;1;0
3;16;39;0;6;44;3;0;1;1;2;0
1;20;42;0;4;17;5;0;0;1;1;0
2;48;43;0;13;110;15;0;1;3;2;0
2;64;48;1;13;91;24;0;0;2;3;0
1;8;46;0;3;46;8;0;0;1;1;0
1;40;38;1;10;85;12;0;0;2;3;1
2;38;71;0;27;10;12;1;0;1;1;0
1;67;68;0;28;244;47;0;1;1;3;0
1;26;42;0;0;80;15;0;1;1;4;0
3;41;34;1;15;83;1;0;1;2;4;0
2;2;31;0;2;21;6;0;0;1;1;1
3;20;48;1;29;24;3;0;0;2;4;1
2;31;53;0;2;351;31;0;1;1;3;0
2;45;52;1;4;169;29;0;1;4;2;0
2;33;27;1;7;46;7;0;0;4;1;0
1;10;26;0;6;34;3;0;0;1;2;0
2;62;54;1;2;50;3;0;0;2;4;1
2;4;35;0;16;161;6;0;1;1;4;1
1;42;47;1;17;212;17;0;0;2;3;0
3;27;51;1;3;80;11;0;0;3;2;0
2;38;42;0;1;30;7;0;1;1;1;0
3;52;61;1;3;53;1;0;1;2;2;0
3;35;33;0;9;73;4;0;1;1;4;0
3;3;20;1;1;17;0;0;1;4;1;1
2;17;33;0;9;23;3;0;0;1;4;1
1;55;53;1;21;34;8;0;0;2;3;0
3;43;36;1;5;107;19;0;1;3;2;1
2;47;25;1;5;21;1;0;1;2;3;1
3;65;58;0;30;83;16;0;1;1;2;0
1;13;20;0;1;17;0;0;0;5;4;0
3;64;25;1;4;76;2;0;1;6;3;0
2;12;24;0;2;19;0;0;0;1;3;1
1;29;32;1;0;49;3;0;1;3;2;1
2;23;47;0;21;173;22;0;1;1;2;0
2;14;35;0;4;47;10;0;1;1;2;1
1;35;61;0;23;41;11;0;0;1;1;0
3;26;39;0;8;105;13;0;1;1;4;0
1;13;54;0;2;31;2;0;0;1;1;0
2;69;40;1;13;41;17;0;0;3;2;0
3;61;50;1;30;102;9;0;1;3;2;0
2;45;22;1;2;36;0;0;1;5;2;1
2;3;37;0;13;24;3;0;1;1;1;0
2;53;22;0;1;25;0;0;0;2;2;0
1;59;42;0;1;68;21;0;1;1;3;0
1;13;34;0;11;20;0;0;1;1;1;0
3;31;31;0;4;48;15;0;0;1;3;0
1;40;29;1;6;40;8;0;1;5;3;0
1;48;55;0;15;79;25;0;0;1;3;0
3;3;31;0;1;28;0;0;0;1;1;1
2;51;48;0;12;64;22;0;1;1;1;0
3;33;41;0;15;37;11;0;0;1;1;0
3;14;47;1;7;48;13;0;0;2;1;0
1;17;42;1;6;131;6;0;0;3;2;1
3;19;29;1;9;18;2;0;0;3;1;1
2;58;36;0;10;38;14;0;1;1;2;0
3;22;23;0;3;37;4;0;1;3;4;0
2;29;31;1;1;60;6;0;0;5;2;1
3;14;22;1;2;13;0;0;1;4;2;1
2;70;64;1;18;98;31;0;1;2;4;0
1;62;52;1;2;195;23;0;0;2;3;1
2;7;35;1;0;47;14;0;0;5;1;1
1;56;47;1;19;65;22;0;0;3;4;0
1;50;50;1;22;150;5;0;1;4;2;1
2;57;39;0;6;106;8;0;0;1;3;0
3;2;40;0;19;51;14;0;1;1;1;0
2;40;38;0;17;96;0;0;1;1;1;0
2;6;43;0;4;33;7;0;0;2;3;0
3;23;25;1;6;38;1;0;1;3;3;0
3;11;32;0;6;125;5;0;0;1;4;1
1;29;37;1;13;145;0;0;1;4;4;0
1;42;44;1;2;99;21;0;0;3;3;0
1;20;34;1;2;22;0;0;1;3;4;0
2;72;60;1;21;31;38;1;0;2;2;0
1;2;36;0;3;25;6;0;1;1;3;0
3;46;25;0;5;57;0;0;1;2;1;0
2;39;51;1;21;41;20;0;0;6;4;0
3;24;25;1;1;20;1;0;1;2;2;1
3;59;43;1;4;101;22;0;1;5;2;0
1;65;37;0;8;56;15;0;0;1;2;0
2;50;27;1;5;22;5;0;1;3;1;0
1;57;37;0;11;108;9;0;1;1;3;0
3;61;48;0;14;115;20;0;1;1;4;0
3;34;54;0;31;53;22;0;0;1;4;0
3;38;53;0;13;242;12;0;0;1;4;0
1;3;24;1;2;20;3;0;1;5;3;0
2;4;47;0;5;123;11;0;0;1;1;0
2;15;35;0;0;34;12;0;0;1;1;0
1;25;29;1;8;31;3;0;1;5;2;1
3;21;44;0;25;47;12;0;1;2;3;0
3;50;37;1;11;48;8;0;1;2;3;0
2;65;64;1;22;13;5;1;1;3;3;0
2;59;52;1;18;78;25;0;0;2;1;0
3;29;26;0;7;34;7;0;1;2;3;0
1;60;46;0;17;81;9;0;1;1;2;0
1;71;45;1;14;86;25;0;0;2;2;0
3;38;27;1;0;26;2;0;0;4;4;1
3;16;34;1;5;51;8;0;1;5;1;0
3;7;31;0;10;59;10;0;0;1;1;0
1;59;53;0;21;112;16;0;0;1;2;1
2;22;56;1;14;57;28;0;0;2;4;0
1;18;48;1;20;41;2;0;1;2;1;0
2;64;46;1;19;168;26;0;1;2;4;0
2;7;33;0;4;29;4;0;1;3;1;1
3;65;58;0;13;167;14;0;1;2;2;0
3;7;24;0;5;29;3;0;0;3;1;1
1;64;55;0;28;104;26;0;1;1;3;0
3;42;22;1;0;46;0;0;0;2;4;1
3;33;26;0;5;46;1;0;1;3;4;0
1;3;33;0;8;51;0;0;1;1;1;1
2;69;42;1;11;65;18;0;0;2;4;0
2;9;33;0;1;48;13;0;0;2;1;0
3;22;34;1;1;46;1;0;0;4;2;0
2;53;63;1;15;43;18;0;0;2;2;0
3;71;53;0;30;110;34;0;0;1;2;0
3;24;26;0;2;32;2;0;0;3;1;0
3;12;22;1;1;18;0;0;1;2;1;0
1;25;39;1;1;26;0;0;0;4;2;1
3;63;28;1;9;34;10;0;1;6;3;0
1;33;54;1;18;57;4;0;1;3;3;1
2;57;54;1;20;21;0;0;1;3;1;0
3;13;33;0;7;38;10;0;1;1;4;0
1;13;21;0;2;19;0;0;1;1;2;1
1;71;39;0;2;40;17;0;0;1;3;0
3;18;69;1;11;58;8;0;0;2;4;0
1;17;51;1;10;95;15;0;1;2;1;1
2;22;43;0;4;114;19;0;0;1;1;0
2;65;65;1;27;128;24;0;0;2;3;0
3;7;40;0;9;33;2;0;1;1;1;0
3;72;66;0;30;460;41;0;1;1;4;0
1;35;43;0;12;224;17;0;0;1;1;0
1;24;39;0;2;122;12;0;0;3;4;0
1;64;24;1;0;23;1;0;1;5;2;0
2;63;63;1;19;191;27;0;0;2;2;0
1;38;31;1;7;187;6;0;0;3;4;1
2;29;37;1;9;119;12;0;0;3;1;0
1;72;69;1;49;44;44;1;1;2;3;0
1;10;27;1;2;15;2;0;1;2;4;1
3;72;64;0;41;674;37;0;1;1;3;0
3;52;23;1;4;33;0;0;1;2;3;0
3;13;55;0;3;250;35;0;1;2;1;0
1;3;33;0;6;64;0;0;0;2;1;1
3;39;24;1;2;26;4;0;0;4;1;1
2;28;29;0;4;23;5;0;0;2;2;0
2;46;42;0;9;52;7;0;0;3;2;0
2;62;46;0;27;200;9;0;1;1;1;0
2;23;33;1;7;28;4;0;0;2;3;0
3;23;25;1;5;19;0;0;0;3;4;1
2;72;61;1;39;76;21;0;0;2;4;0
3;56;60;0;26;70;20;0;0;1;1;0
1;8;30;0;1;34;9;0;1;1;3;0
3;3;36;0;7;34;3;0;1;3;4;0
3;37;37;0;7;172;13;0;0;1;1;0
3;37;53;1;13;48;10;0;0;3;3;0
2;6;30;0;9;45;2;0;1;1;1;1
1;48;47;0;9;72;13;0;0;5;4;1
2;43;43;1;3;55;18;0;1;4;4;0
2;21;29;0;7;40;2;0;1;4;1;0
3;6;33;0;12;26;0;0;0;1;3;1
2;69;51;0;18;96;33;0;0;4;3;0
1;22;33;0;9;54;10;0;0;1;3;0
1;28;40;1;1;47;9;0;1;3;3;0
1;71;47;1;23;142;30;0;0;2;2;0
2;7;37;0;5;57;1;0;0;1;1;0
1;63;29;0;10;20;7;0;0;2;4;0
2;53;57;0;25;37;7;0;0;1;2;0
2;50;52;1;17;36;16;0;0;4;4;0
2;39;31;1;6;24;2;0;0;2;4;0
3;16;19;0;0;21;0;0;1;1;1;0
3;43;51;1;15;186;25;0;0;2;4;0
3;44;31;0;12;30;7;0;1;3;1;0
2;72;66;1;43;96;16;0;1;2;4;0
3;61;76;0;39;15;29;1;0;1;3;0
3;43;21;1;1;25;4;0;0;4;2;1
3;24;39;0;11;49;7;0;1;1;1;0
3;64;45;0;4;38;7;0;1;1;3;1
2;64;38;0;0;29;2;0;0;2;2;0
1;24;26;0;7;55;7;0;1;1;1;0
3;33;55;1;21;64;10;0;1;3;1;0
2;33;33;1;12;42;7;0;1;5;2;0
1;2;40;0;9;134;2;0;0;1;1;0
2;42;48;1;22;82;21;0;1;5;4;0
1;52;54;1;5;153;10;0;0;2;2;1
1;45;66;0;43;144;13;0;1;1;2;0
3;3;25;0;4;22;0;0;0;2;4;1
2;37;53;1;16;35;16;0;1;4;3;0
2;28;57;0;33;82;22;0;1;1;2;1
3;40;63;1;9;61;22;0;0;2;1;0
2;37;33;0;1;102;12;0;0;1;4;0
3;7;27;0;5;31;4;0;0;5;4;1
1;71;56;0;23;170;30;0;1;1;4;0
2;19;46;0;11;26;0;0;1;1;1;0
2;61;40;0;15;85;15;0;1;1;3;0
3;70;53;1;16;183;35;0;1;2;2;0
2;60;55;1;13;67;18;0;1;2;1;0
3;48;45;1;5;42;11;0;1;2;1;0
1;8;63;1;1;31;9;0;0;2;3;0
2;58;58;1;10;96;17;0;0;4;3;0
1;16;24;1;5;24;2;0;0;5;3;0
2;33;33;0;4;53;14;0;1;1;1;0
2;39;25;0;4;18;0;0;1;1;3;0
1;62;51;0;10;43;19;0;0;2;2;0
1;50;34;0;10;104;9;0;0;1;4;0
2;48;55;0;31;26;1;0;0;1;1;0
3;31;62;0;5;56;26;0;1;1;3;0
2;65;33;1;9;49;6;0;0;5;2;0
1;36;58;0;34;80;21;0;1;1;2;0
1;61;46;0;5;318;18;0;1;1;3;0
2;48;42;0;21;35;5;0;0;1;3;0
3;35;45;0;17;29;6;0;0;1;1;0
1;51;28;0;8;43;1;0;0;5;4;0
2;49;51;1;5;80;3;0;0;2;4;1
1;35;39;1;11;30;2;0;1;3;3;1
1;58;70;0;2;9;24;1;1;1;2;0
1;23;35;1;0;23;1;0;0;5;3;0
2;26;39;1;15;58;9;0;1;2;3;0
1;38;37;1;1;52;20;0;1;4;4;0
1;35;66;1;44;14;12;1;1;2;3;0
2;37;50;0;9;110;21;0;1;1;3;0
2;48;43;1;1;60;12;0;0;2;2;0
3;13;43;1;1;123;21;0;0;5;4;0
1;72;63;1;29;15;31;1;0;2;3;0
1;30;27;0;4;47;2;0;1;2;2;1
1;24;43;0;14;138;11;0;1;1;3;0
2;25;51;1;20;359;29;0;0;2;4;0
2;50;52;0;30;214;22;0;0;1;4;0
2;28;40;0;7;64;19;0;0;1;3;0
3;34;51;0;8;50;14;0;0;1;1;0
1;48;32;0;2;88;9;0;0;1;4;0
2;42;36;1;8;86;15;0;1;2;2;0
3;67;65;1;30;17;29;1;1;2;3;0
1;17;41;1;7;25;17;0;0;3;3;0
1;29;38;1;19;46;6;0;0;2;2;0
3;66;61;0;26;361;40;0;1;1;2;0
2;1;21;0;1;18;0;0;1;1;1;1
1;28;33;1;3;14;1;0;0;3;4;1
1;15;35;1;5;34;8;0;0;2;2;1
2;12;64;0;13;9;6;1;1;1;3;0
3;48;49;0;18;39;5;0;1;1;4;1
2;59;25;1;4;18;2;0;0;4;1;0
3;8;26;1;1;25;1;0;0;2;1;1
1;45;52;0;15;46;8;0;1;1;2;1
1;25;39;1;8;94;11;0;1;4;2;1
1;21;44;1;4;26;2;0;0;2;4;0
2;17;68;1;1;335;35;0;1;3;4;0
2;41;45;0;14;25;6;0;0;1;1;1
1;13;45;1;3;99;8;0;1;2;3;1
2;1;26;1;3;30;7;0;1;5;1;1
3;3;31;1;4;35;2;0;1;3;4;1
1;23;27;1;2;51;1;0;1;2;1;1
3;26;42;0;20;49;13;0;0;1;4;1
1;37;51;1;15;54;15;0;0;3;3;0
3;5;30;0;3;46;7;0;0;1;2;1
1;32;27;1;3;91;1;0;1;3;4;1
3;12;22;0;1;23;0;0;0;2;1;0
1;72;54;1;6;345;32;0;0;2;3;0
3;3;25;1;2;45;0;0;1;2;1;1
1;54;43;0;12;53;12;0;0;1;3;0
2;26;26;0;2;14;6;0;1;1;4;1
3;14;36;0;13;67;4;0;1;1;1;0
3;22;51;0;27;49;1;0;0;1;1;0
3;65;47;1;18;37;15;0;1;4;1;0
3;26;45;0;18;33;9;0;0;1;1;0
1;20;37;0;5;46;10;0;1;4;4;0
2;67;60;1;32;93;21;0;0;4;2;0
1;34;55;0;2;48;11;0;0;1;1;0
1;37;54;1;35;183;22;0;0;3;3;0
2;22;23;1;3;16;5;0;0;4;1;0
2;5;69;0;0;11;14;1;0;1;1;0
1;28;31;1;0;42;5;0;1;3;3;0
1;20;41;1;7;67;14;0;1;4;1;0
3;72;41;0;20;181;12;0;0;1;4;0
2;30;43;0;18;53;6;0;0;1;1;0
3;71;52;0;17;172;32;0;0;1;4;0
2;56;44;0;24;87;19;0;0;1;3;0
1;8;29;1;2;21;0;0;0;2;1;1
2;32;65;0;6;9;30;1;1;1;2;0
2;46;47;0;22;144;22;0;1;2;3;1
3;60;45;1;23;117;11;0;0;3;4;0
2;42;32;1;0;59;4;0;1;6;4;0
3;71;60;1;39;508;35;0;0;4;4;0
2;72;63;1;40;222;43;1;1;2;3;0
3;45;66;0;11;87;25;1;1;1;1;0
3;5;31;0;4;34;9;0;0;1;3;1
2;17;38;1;19;18;0;0;1;4;2;0
2;70;55;0;12;65;24;0;0;1;3;0
3;57;57;1;19;130;27;0;1;2;2;0
1;20;33;0;13;44;8;0;1;1;2;0
1;72;52;1;21;63;24;0;0;3;3;0
3;32;50;0;28;57;20;0;0;1;3;0
3;22;57;1;7;264;35;0;1;2;3;0
2;6;24;0;2;28;5;0;0;2;3;1
3;32;23;1;2;26;1;0;1;6;4;0
1;38;33;0;3;38;0;0;0;1;2;0
1;53;35;0;15;59;5;0;1;1;3;0
3;37;76;0;38;117;21;0;1;1;1;0
1;47;35;1;13;70;9;0;1;2;4;1
3;69;59;0;37;104;13;0;0;1;3;0
3;63;56;0;17;71;18;0;1;1;1;0
1;61;34;1;0;70;7;0;1;3;4;1
1;56;38;1;8;56;10;0;0;2;4;0
3;40;57;1;18;68;23;0;0;2;3;0
2;61;45;0;21;80;13;0;1;1;2;0
2;16;26;0;7;21;1;0;0;6;4;0
2;7;43;0;4;69;5;0;1;1;1;0
3;20;31;1;10;39;3;0;1;2;1;0
2;35;38;0;7;90;18;0;0;4;2;0
1;60;37;1;12;64;1;0;1;2;2;0
2;47;25;0;2;28;6;0;0;1;4;0
2;33;28;1;3;24;0;0;1;6;1;0
3;12;34;0;2;44;7;0;0;1;1;0
1;10;31;0;0;32;7;0;1;2;2;1
2;69;33;1;9;52;9;0;1;3;3;0
1;23;20;0;1;15;0;0;1;1;2;0
1;53;31;0;10;46;6;0;0;2;2;0
2;60;57;1;14;107;33;0;1;2;3;0
2;33;33;0;7;56;11;0;0;1;1;0
3;67;40;1;21;40;7;0;1;4;4;0
3;15;38;1;5;56;13;0;0;3;3;0
3;64;31;1;5;46;7;0;1;4;2;0
2;46;49;1;13;51;21;0;0;2;1;1
2;72;60;1;33;12;20;1;0;3;4;0
1;61;43;1;6;34;6;0;0;3;4;1
3;54;27;0;3;27;6;0;1;5;4;0
3;28;36;0;3;42;7;0;1;1;3;0
2;28;38;0;8;119;2;0;0;3;4;1
2;32;43;0;13;146;27;0;1;1;3;0
2;52;46;0;17;51;13;0;1;3;2;0
1;48;62;0;33;86;22;1;1;1;3;0
3;52;42;1;17;27;8;0;1;2;3;0
1;37;43;0;8;38;9;0;0;1;2;0
1;41;52;0;26;928;29;0;0;3;3;0
2;43;27;1;3;21;1;0;1;3;2;0
3;67;60;0;24;24;6;0;1;1;3;0
3;61;52;1;30;91;25;0;1;2;1;0
3;70;39;1;20;38;8;0;1;4;3;0
3;44;32;1;1;96;5;0;1;4;4;0
3;46;45;0;12;96;17;0;0;1;2;0
3;39;34;0;2;54;5;0;0;1;1;0
2;39;59;0;20;1668;27;0;1;1;2;0
2;50;29;1;10;53;0;0;1;4;4;0
3;5;31;0;1;21;1;0;1;2;1;1
2;10;34;0;1;52;3;0;1;1;2;1
1;72;69;0;45;17;36;1;1;1;2;0
2;68;60;0;40;262;39;0;1;1;3;0
3;58;28;0;5;34;1;0;1;1;2;0
3;18;44;1;10;107;19;0;1;7;1;0
1;65;45;1;25;67;13;0;1;2;3;0
3;8;45;0;1;37;0;0;0;1;2;1
2;1;20;0;1;21;0;0;1;2;1;1
3;42;58;0;7;22;4;0;1;1;2;0
1;4;25;1;3;71;3;0;1;5;1;0
3;17;35;0;4;77;8;0;1;1;3;0
2;8;24;1;1;18;0;0;1;5;4;1
1;49;37;1;17;50;12;0;1;2;2;0
1;56;46;1;21;33;7;0;0;2;2;0
1;62;57;1;21;94;22;0;0;2;4;0
2;42;57;1;25;209;40;0;1;4;1;0
1;13;32;0;7;31;5;0;0;2;3;0
1;69;46;1;18;66;19;0;0;4;2;0
2;45;59;0;14;51;15;0;0;2;1;0
2;66;42;1;18;118;20;0;0;2;2;0
2;15;35;0;10;25;3;0;0;1;1;1
1;41;44;1;1;59;21;0;1;3;2;0
2;11;20;0;1;20;0;0;1;1;4;1
3;45;30;1;0;63;4;0;0;4;4;1
1;52;62;0;23;36;17;0;0;1;1;0
1;42;56;0;24;72;18;0;1;1;4;0
2;48;35;0;11;50;16;0;0;3;3;0
3;4;31;0;5;39;5;0;0;2;4;1
3;53;64;1;10;54;20;0;1;2;4;0
3;1;59;0;4;9;4;1;0;1;3;0
3;19;30;1;10;33;1;0;0;3;4;0
2;33;30;0;11;28;9;0;0;1;1;0
3;42;36;1;14;44;11;0;0;3;3;0
1;60;32;0;12;34;4;0;1;2;2;0
2;57;51;1;7;68;18;0;1;3;3;0
1;64;39;0;5;37;9;0;0;1;1;0
2;28;20;1;1;18;0;0;0;3;4;0
1;29;35;1;10;55;7;0;0;4;3;1
1;46;31;1;12;21;5;0;0;5;3;0
1;22;41;1;9;29;11;0;0;4;1;1
2;10;56;0;26;9;6;1;0;2;1;0
3;50;41;0;16;138;18;0;1;1;2;1
1;55;65;0;34;28;12;1;1;1;4;0
2;15;54;0;7;62;11;0;0;1;1;0
1;31;32;1;13;37;8;0;1;3;4;0
3;5;44;0;5;83;16;0;1;1;2;1
2;69;63;0;28;168;43;0;1;2;3;0
2;26;27;1;4;33;1;0;0;6;4;1
3;10;33;1;2;66;9;0;1;4;1;1
1;26;30;0;9;18;1;0;0;3;4;1
3;25;30;0;0;20;4;0;1;1;3;0
3;30;23;1;4;19;1;0;0;4;2;0
1;21;39;1;7;25;1;0;0;4;3;0
1;71;46;0;27;119;7;0;1;1;4;0
3;11;48;1;5;323;25;0;0;4;3;1
1;24;30;1;7;45;11;0;1;2;1;0
1;65;59;1;27;197;26;0;0;2;2;0
1;16;34;1;13;56;10;0;1;3;1;1
3;37;51;1;26;24;4;0;0;2;2;0
1;5;30;0;4;25;6;0;0;1;3;1
1;3;55;1;9;26;0;0;1;2;2;1
1;5;32;0;6;33;3;0;0;2;1;1
1;60;44;1;4;150;24;0;0;2;4;0
2;19;37;1;4;99;15;0;1;3;2;1
3;54;40;0;19;50;12;0;1;2;4;0
2;25;41;0;3;81;20;0;1;4;3;0
2;1;36;0;6;21;1;0;0;2;2;1
3;54;68;0;7;273;27;0;1;1;1;0
1;14;31;1;9;39;4;0;1;7;1;0
3;14;28;1;7;17;3;0;0;4;1;1
2;10;45;1;8;115;17;0;1;4;2;1
1;7;23;0;3;27;1;0;1;3;1;0
2;33;45;0;24;35;6;0;0;1;3;1
1;3;23;0;2;20;4;0;0;1;1;0
2;56;58;1;3;92;25;0;0;3;1;0
2;54;56;0;8;207;35;0;1;1;3;0
1;72;55;1;28;40;11;0;0;5;2;0
1;18;29;0;4;40;1;0;0;1;3;0
3;25;29;0;9;55;1;0;0;1;1;1
1;42;62;0;26;26;35;1;1;1;1;0
3;4;37;0;2;41;8;0;0;1;1;0
2;12;50;1;16;203;25;0;0;2;1;1
2;53;64;1;17;380;36;0;1;2;3;0
2;13;38;1;8;104;6;0;0;7;4;1
3;18;31;1;12;24;4;0;0;4;2;0
